#Word1	Word2	Score
аварыя_NOUN	бедзтва_NOUN	6.15
жнівень_NOUN	месяц_NOUN	2.85
авіяцыя_NOUN	палёт_NOUN	6.77
аўтамабіль_NOUN	гудок_NOUN	1.85
аўтамабіль_NOUN	аўтастрада_NOUN	1.23
аўтамабіль_NOUN	таксі_NOUN	4.15
аўтамабіль_NOUN	датчык_NOUN	1.62
аўтамабіль_NOUN	ровар_NOUN	1.38
аўтамабіль_NOUN	карэта_NOUN	3
аўтамабіль_NOUN	мост_NOUN	1.15
аўтамабіль_NOUN	пад'ёмнік_NOUN	2.08
аўтамабіль_NOUN	шланг_NOUN	2.15
аўтамабіль_NOUN	завод_NOUN	1.77
аўтар_NOUN	стваральнік_NOUN	9.23
аўтатранспарт_NOUN	аўтобус_NOUN	8.31
агрэсіўнасць_NOUN	варожасць_NOUN	9.08
акцёр_NOUN	спявак_NOUN	5.62
актрыса_NOUN	акцёр_NOUN	3.69
алкаголь_NOUN	брэндзі_NOUN	6.77
алкаголь_NOUN	джын_NOUN	6.38
алкаголь_NOUN	кактэйль_NOUN	5.31
алкаголь_NOUN	віскі_NOUN	6.31
алкаголь_NOUN	віно_NOUN	6.46
аналізаваць_VERB	ацэньваць_VERB	7.92
анархія_NOUN	хаос_NOUN	7.54
анатомія_NOUN	біялогія_NOUN	4.38
аргументаваць_VERB	абгрунтоўваць_VERB	8.77
аргументаваць_VERB	пацвярджаць_VERB	5.46
арыфметыка_NOUN	рытм_NOUN	0.23
армія_NOUN	легіён_NOUN	6.85
армія_NOUN	атрад_NOUN	3.77
архіепіскап_NOUN	біскуп_NOUN	6
атам_NOUN	вуглярод_NOUN	1.85
баль_NOUN	касцюм_NOUN	1.92
балада_NOUN	песня_NOUN	6.38
слоік_NOUN	бутэлька_NOUN	3.23
баскетбол_NOUN	бейсбол_NOUN	1.23
вежа_NOUN	звон_NOUN	1.08
сцягно_NOUN	губа_NOUN	0.77
вар'яцкі_ADJ	вар'ят_ADJ	9.31
бекон_NOUN	боб_NOUN	0.31
бераг_NOUN	узбярэжжа_NOUN	7.62
Біблія_NOUN	псалом_NOUN	5.54
біяграфія_NOUN	раман_NOUN	2.92
бітва_NOUN	заваёва_NOUN	4.08
боб_NOUN	кава_NOUN	2.77
бог_NOUN	д'ябал_NOUN	0.08
бог_NOUN	дух_NOUN	4.08
бог_NOUN	святар_NOUN	2.15
бог_NOUN	ахвяра_NOUN	0.46
багацце_NOUN	беднасць_NOUN	0.23
багацце_NOUN	рэпутацыя_NOUN	1.31
багацце_NOUN	слава_NOUN	3.23
хвароба_NOUN	інфекцыя_NOUN	7.5
боль_NOUN	шкода_NOUN	2.15
вялікі_ADJ	велізарны_ADJ	9.15
вялікі_ADJ	шырокі_ADJ	3.31
вялікі_ADJ	цяжкі_ADJ	2.92
брат_NOUN	сын_NOUN	0.92
брат_NOUN	чалавек_NOUN	1.54
братэрства_NOUN	дзверы_NOUN	0.08
братэрства_NOUN	бейсбол_NOUN	0.69
браць_VERB	красьці_VERB	2.69
браць_VERB	атрымліваць_VERB	4.08
браць_VERB	несці_VERB	1
браць_VERB	дастаўляць_VERB	1.15
браць_VERB	завалодвалі_VERB	6.85
бервяно_NOUN	драўніна_NOUN	6.54
бервяно_NOUN	ванна_NOUN	0
брыво_NOUN	вока_NOUN	2.23
брушка_NOUN	жывот_NOUN	7.77
папера_NOUN	кардон_NOUN	6.62
бура_NOUN	ураган_NOUN	8.54
бутэрброд_NOUN	абед_NOUN	2.15
бутэлька_NOUN	кантэйнер_NOUN	2.31
хуткі_ADJ	хуткасны_ADJ	9.15
ванна_NOUN	свавольства_NOUN	0.38
ванна_NOUN	жонка_NOUN	0.31
ванна_NOUN	шар_NOUN	0.15
ванная_NOUN	спальня_NOUN	1.08
ванная_NOUN	кухня_NOUN	2.08
ветлівы_ADJ	прыстойны_ADJ	5.38
ровар_NOUN	спальня_NOUN	0
вера_NOUN	кветка_NOUN	0.23
вераванне_NOUN	думка_NOUN	1.31
вераванне_NOUN	прадстаўленне_NOUN	4.62
верх_NOUN	боку_NOUN	1.46
вечар_NOUN	змярканне_NOUN	7.23
дарослы_NOUN	немаўля_NOUN	0.31
дарослы_NOUN	апякун_NOUN	5.38
бачаньне_NOUN	успрыманне_NOUN	7.62
віно_NOUN	брэндзі_NOUN	4.62
віно_NOUN	спіртное_NOUN	6.46
скронь_NOUN	джын_NOUN	5.69
скронь_NOUN	шампанскае_NOUN	2.31
вітамін_NOUN	жалеза_NOUN	2.69
укладваць_VERB	злучаць_VERB	1.92
увага_NOUN	інтарэс_NOUN	7.08
увага_NOUN	дасведчанасць_NOUN	2.85
вада_NOUN	лёд_NOUN	2
вада_NOUN	соль_NOUN	0
кіроўца_NOUN	пілот_NOUN	6.62
паветра_NOUN	гелій_NOUN	1.85
красьці_VERB	купляць_VERB	0
цудоўны_ADJ	выдатны_ADJ	9.08
цудоўны_ADJ	радасны_ADJ	5.23
лекар_NOUN	ортодонт_NOUN	3.85
лекар_NOUN	самавалоданне_NOUN	2.23
уваходзіць_VERB	завінаваціцца_VERB	0.08
выбіраць_VERB	абіраць_VERB	8.54
выбар_NOUN	Вена_NOUN	0.15
выйграваць_VERB	дамінаваць_VERB	7.38
цягавітасьць_NOUN	сіла_NOUN	4.38
выказвацца_VERB	удзельнічаць_VERB	1.85
выхад_NOUN	праход_NOUN	4.54
выхадны_NOUN	тыдзень_NOUN	2.92
газета_NOUN	інфармацыя_NOUN	5.54
гераіня_NOUN	герой_NOUN	6.54
гітара_NOUN	барабан_NOUN	0.85
старшыня_NOUN	кіраўнік_NOUN	8.62
старшыня_NOUN	мэр_NOUN	7.08
старшыня_NOUN	выбар_NOUN	0.85
старшыня_NOUN	канец_NOUN	1
вока_NOUN	сляза_NOUN	1.77
глыбіня_NOUN	велічыня_NOUN	3.15
казаць_VERB	чуць_VERB	0.08
казаць_VERB	прызнаваць_VERB	4.23
казаць_VERB	пацвярджаць_VERB	2.92
ганарар_NOUN	плацеж_NOUN	8
ганарар_NOUN	зарплата_NOUN	8.77
ганчак_NOUN	ліса_NOUN	0.62
гара_NOUN	выступ_NOUN	4.15
горла_NOUN	нос_NOUN	2.92
спадарыня_NOUN	спадар_NOUN	4.38
грэшнік_NOUN	святы_NOUN	0.15
грып_NOUN	спякота_NOUN	3.69
грукат_NOUN	шум_NOUN	7.92
грубы_ADJ	абыякавы_ADJ	2.85
гружаны_ADJ	цяжкі_ADJ	6.38
група_NOUN	аркестр_NOUN	4.77
брудны_ADJ	танней_ADJ	0.77
брудны_ADJ	вузкі_ADJ	0
даваць_VERB	пазычаць_VERB	6.85
даваць_VERB	укладваць_VERB	5.46
даваць_VERB	займаць_VERB	6.31
даваць_VERB	красьці_VERB	0
даваць_VERB	ведаць_VERB	0.46
дантыст_NOUN	палкоўнік_NOUN	0.31
дата_NOUN	каляндар_NOUN	4.46
дзверы_NOUN	праём_NOUN	4.92
дзверы_NOUN	падвал_NOUN	0.38
дзверы_NOUN	вароты_NOUN	3.15
дзверы_NOUN	калідор_NOUN	0.69
дзверы_NOUN	падлога_NOUN	0.31
дзверы_NOUN	кухня_NOUN	1.23
дзяўчынка_NOUN	дзіця_NOUN	4.69
дзяўчынка_NOUN	дзяўчына_NOUN	5.77
дзеянне_NOUN	рух_NOUN	7.08
дзеянне_NOUN	курс_NOUN	3.08
дзейнічаць_VERB	адбывацца_VERB	4
рабіць_VERB	будаваць_VERB	6.38
рабіць_VERB	станавіцца_VERB	3.54
рабіць_VERB	спыняць_VERB	2.38
дзень_NOUN	світанне_NOUN	1.54
дзень_NOUN	раніца_NOUN	0.77
грошы_NOUN	зарплата_NOUN	7.54
грошы_NOUN	капітал_NOUN	8.08
грошы_NOUN	жэмчуг_NOUN	3.08
грошы_NOUN	брыльянт_NOUN	4.08
дрэва_NOUN	клён_NOUN	5.23
дрэва_NOUN	бервяно_NOUN	5.92
дрэва_NOUN	папера_NOUN	2.85
трымаць_VERB	займаць_VERB	3.31
трымаць_VERB	даваць_VERB	0.31
дзёрзкі_ADJ	горды_ADJ	0.85
дзесяцігоддзе_NOUN	стагоддзе_NOUN	2.08
канапа_NOUN	крэсла_NOUN	1.23
дыета_NOUN	салата_NOUN	2.85
дыета_NOUN	яблык_NOUN	2.38
дыск_NOUN	кампутар_NOUN	2.54
дыскусія_NOUN	спрэчка_NOUN	8.69
доўгі_ADJ	вузкі_ADJ	1
дадаваць_VERB	будаваць_VERB	0.77
дамагацца_VERB	пераконваць_VERB	5.23
здабываць_VERB	зарабляць_VERB	6.62
дождж_NOUN	імжа_NOUN	7.31
доказ_NOUN	факт_NOUN	6.62
доктар_NOUN	прафесар_NOUN	4.46
даляр_NOUN	народ_NOUN	0.23
дом_NOUN	кватэра_NOUN	6.92
дом_NOUN	ключ_NOUN	0.62
дом_NOUN	дыван_NOUN	0.85
дом_NOUN	свіран_NOUN	3.08
дом_NOUN	дзяржава_NOUN	2.69
домік_NOUN	хаціна_NOUN	8.38
дарожка_NOUN	шар_NOUN	0
прыкрасьць_NOUN	злосць_NOUN	5.69
дасягаць_VERB	завяршаць_VERB	6.62
дасягаць_VERB	спрабаваць_VERB	1.85
дасягаць_VERB	мець поспех_VERB	7.38
дасягаць_VERB	заставацца_VERB	3.08
дачка_NOUN	дзіця_NOUN	7.69
сябар_NOUN	прыяцель_NOUN	9.31
сябар_NOUN	госьць_NOUN	2.46
сябар_NOUN	настаўнік_NOUN	3
сябар_NOUN	хлопец_NOUN	1
прыязны_ADJ	велікадушны_ADJ	4.46
дуб_NOUN	клён_NOUN	2.92
думаць_VERB	абгрунтоўваць_VERB	5
думаць_VERB	вырашаць_VERB	6.08
думаць_VERB	пытацца_VERB	3.31
дзірка_NOUN	жонка_NOUN	0.15
дыхаць_VERB	задыхацца_VERB	2.62
дзядзька_NOUN	цётка_NOUN	0
скардзіцца_VERB	лаяцца_VERB	3.54
спякота_NOUN	хвароба_NOUN	6.31
страўнік_NOUN	талія_NOUN	0
страўнік_NOUN	Вена_NOUN	0.38
страўнік_NOUN	спальня_NOUN	0
жонка_NOUN	муж_NOUN	0
жонка_NOUN	салома_NOUN	0.15
жаніх_NOUN	нявеста_NOUN	0
жанчына_NOUN	мужчына_NOUN	0
жанчына_NOUN	сакратар_NOUN	1.54
жанчына_NOUN	жонка_NOUN	4.62
жанчына_NOUN	мех_NOUN	0.46
жорсткі_ADJ	бязлітасны_ADJ	3.77
жывёліна_NOUN	чалавек_NOUN	2.54
забіраць_VERB	кідаць_VERB	0.08
забываць_VERB	ігнараваць_VERB	5.46
забываць_VERB	пазнаваць_VERB	0
забываць_VERB	ведаць_VERB	0
забываць_VERB	памятаць_VERB	0.08
завяршаць_VERB	вырашаць_VERB	1.38
завяршаць_VERB	станавіцца_VERB	3.92
сняданак_NOUN	бекон_NOUN	2.38
сняданак_NOUN	вячэра_NOUN	2
забруджванне_NOUN	атмасфера_NOUN	1.92
забруджванне_NOUN	прэзідэнт_NOUN	0.31
заданне_NOUN	задача_NOUN	8.85
задача_NOUN	праца_NOUN	6.92
задача_NOUN	жанчына_NOUN	0.46
задача_NOUN	аўтастрада_NOUN	0.31
задача_NOUN	дробязь_NOUN	0.46
завінаваціцца_VERB	пазычаць_VERB	5.08
заход_NOUN	світанне_NOUN	0
заход_NOUN	вечар_NOUN	5.46
замяняць_VERB	аднаўляць_VERB	2.38
прыкметны_ADJ	відавочны_ADJ	6.77
займаць_VERB	жабраваць_VERB	2.62
займаць_VERB	прадаваць_VERB	1.62
займаць_VERB	хацець_VERB	0.38
заслугоўваць_VERB	зарабляць_VERB	4.46
абараняць_VERB	адстойваць_VERB	8.85
звер_NOUN	жывёліна_NOUN	8.38
званок_NOUN	дзверы_NOUN	1.31
збожжа_NOUN	гарчыца_NOUN	1.38
зіма_NOUN	лета_NOUN	0
зіма_NOUN	сезон_NOUN	3.92
колас_NOUN	пшаніца_NOUN	6.62
злосць_NOUN	лютасць_NOUN	8.85
злосць_NOUN	настрой_NOUN	3.62
ведаць_VERB	верыць_VERB	2.69
ведаць_VERB	разумець_VERB	3.46
ігнараваць_VERB	пазбягаць_VERB	7.77
ігнараваць_VERB	абарачацца_VERB	1.54
ігнараваць_VERB	даследаваць_VERB	0.08
гульня_NOUN	весялосьць_NOUN	5.23
гульня_NOUN	спрыт_NOUN	0.54
гульня_NOUN	дзеянне_NOUN	4.62
ідэя_NOUN	чын_NOUN	5.69
ідэя_NOUN	план_NOUN	6.54
ісьці_VERB	прыходзіць_VERB	6.46
ісьці_VERB	уваходзіць_VERB	4.15
ісьці_VERB	пасылаць_VERB	1.08
ісьці_VERB	дазваляць_VERB	0.08
вестка_NOUN	газета_NOUN	5.23
выгіб_NOUN	кут_NOUN	4.69
зносаўстойлівасць_NOUN	павязка_NOUN	0.85
багацце_NOUN	мноства_NOUN	8.69
маляваць_VERB	паведамляць_VERB	0.54
вывучаць_VERB	ацэньваць_VERB	3.15
вывучаць_VERB	выяўляць_VERB	6
вывучаць_VERB	займацца_VERB	3.46
імітаваць_VERB	маляваць_VERB	7.54
інтэлект_NOUN	логіка_NOUN	4.31
інфармаваць_VERB	паведамляць_VERB	9.46
даследаваць_VERB	вывучаць_VERB	8.69
істэрыка_NOUN	зацямненне_NOUN	4.77
гісторыя_NOUN	тэма_NOUN	1.85
знікаць_VERB	сціскацца_VERB	3.92
кабінка_NOUN	будка_NOUN	7.54
ўяўны_ADJ	відавочны_ADJ	2.92
капітан_NOUN	марак_NOUN	3.92
карніз_NOUN	фіранка_NOUN	2.31
карта_NOUN	брыдж_NOUN	1.23
рондаль_NOUN	прыбор_NOUN	2
кватэра_NOUN	мэбля_NOUN	1.69
кватэра_NOUN	гасцініца_NOUN	3.23
пэндзаль_NOUN	палец_NOUN	3.23
пэндзаль_NOUN	запясце_NOUN	5.23
пэндзаль_NOUN	ступня_NOUN	0
клас_NOUN	калідор_NOUN	1.46
класці_VERB	вешаць_VERB	1
клуб_NOUN	грамадства_NOUN	6.69
кніга_NOUN	тэкст_NOUN	5.31
кніга_NOUN	літаратура_NOUN	6
кніга_NOUN	гісторыя_NOUN	1.38
кніга_NOUN	Біблія_NOUN	5.23
кніга_NOUN	тэма_NOUN	2.075
кніга_NOUN	інфармацыя_NOUN	5.31
кніга_NOUN	эсэ_NOUN	3.77
кніга_NOUN	артыкул_NOUN	3.92
код_NOUN	сімвал_NOUN	6.08
койка_NOUN	бальніца_NOUN	2.38
каледж_NOUN	прафесія_NOUN	2.62
каледж_NOUN	клас_NOUN	2.38
калекцыянаваць_VERB	захоўваць_VERB	5.62
камунікацыя_NOUN	тэлебачанне_NOUN	6.62
пакой_NOUN	ванна_NOUN	0.85
пакой_NOUN	ложак_NOUN	1.15
пакой_NOUN	камера_NOUN	5.08
кампетэнцыя_NOUN	здольнасьць_NOUN	2.425
кампазітар_NOUN	пісьменнік_NOUN	4.54
камфорт_NOUN	бяспека_NOUN	6.31
канечнасьць_NOUN	нага_NOUN	7.85
кантэйнер_NOUN	мыш_NOUN	0.15
конь_NOUN	жарабя_NOUN	6.23
конь_NOUN	бык_NOUN	1.31
корань_NOUN	трава_NOUN	2.92
скрынка_NOUN	ліфт_NOUN	1.77
скрынка_NOUN	капялюш_NOUN	0.69
карова_NOUN	быдла_NOUN	8.08
карова_NOUN	каза_NOUN	2.15
кароль_NOUN	прынцэса_NOUN	0.85
кароткі_ADJ	доўгі_ADJ	0
карпарацыя_NOUN	прадпрыемства_NOUN	8.31
костка_NOUN	сківіца_NOUN	2.08
костка_NOUN	шчыкалатка_NOUN	2.08
костка_NOUN	калена_NOUN	2.69
костка_NOUN	шыя_NOUN	2.15
костка_NOUN	зуб_NOUN	2.08
костка_NOUN	локаць_NOUN	1.54
кот_NOUN	львы_NOUN	1.15
кот_NOUN	гадаванец_NOUN	4.46
кот_NOUN	трус_NOUN	0.46
катэдж_NOUN	домік_NOUN	7.38
край_NOUN	канец_NOUN	7.54
прыгожы_ADJ	выдатны_ADJ	9.38
прыгажосць_NOUN	узрост_NOUN	2.85
ложачак_NOUN	калыска_NOUN	7.69
ложак_NOUN	спальня_NOUN	2.46
ложак_NOUN	ложачак_NOUN	9
ложак_NOUN	мэбля_NOUN	3.08
ложак_NOUN	кушэтка_NOUN	8
ложак_NOUN	крэсла_NOUN	1.23
кроў_NOUN	плоць_NOUN	1.23
кроў_NOUN	мозг_NOUN	1.23
малюсенькі_ADJ	велізарны_ADJ	0
буйны_ADJ	вялікі_ADJ	9.46
буйны_ADJ	гнуткі_ADJ	0
пацук_NOUN	мыш_NOUN	3.46
дах_NOUN	столь_NOUN	2.77
дах_NOUN	падлога_NOUN	0.23
кузен_NOUN	дзядзька_NOUN	4.77
курыца_NOUN	індычка_NOUN	3.54
курс_NOUN	страўнік_NOUN	0
кураціна_NOUN	рыс_NOUN	0.38
кураціна_NOUN	стейк_NOUN	4
кушэтка_NOUN	бейсбол_NOUN	0.23
лагер_NOUN	домік_NOUN	1.92
збірацца_VERB	дагаджаць_VERB	4.85
лёгкі_ADJ	цяжкі_ADJ	0
лёгкі_ADJ	вялікі_ADJ	0
песціць_VERB	захоўваць_VERB	3.77
лен_NOUN	тканіна_NOUN	3.46
лімон_NOUN	чай_NOUN	0.23
лінза_NOUN	фотаапарат_NOUN	1.77
спрытны_ADJ	цягавіты_ADJ	3.92
логіка_NOUN	арыфметыка_NOUN	4.38
лодка_NOUN	якар_NOUN	2
шчыкалатка_NOUN	акно_NOUN	0
лыжка_NOUN	кубак_NOUN	1.54
локаць_NOUN	шчыкалатка_NOUN	0.69
конь_NOUN	кабыла_NOUN	10
месяц_NOUN	планета_NOUN	4.62
прамень_NOUN	сонца_NOUN	3.54
хлопчык_NOUN	дзіця_NOUN	5.62
хлопчык_NOUN	сын_NOUN	3.62
хлопчык_NOUN	партнёр_NOUN	1
хлопчык_NOUN	брат_NOUN	2.54
хлопчык_NOUN	салдат_NOUN	1.23
марыхуана_NOUN	трава_NOUN	5.85
алей_NOUN	бульба_NOUN	0.77
алей_NOUN	норка_NOUN	0.62
маці_NOUN	апякунка_NOUN	3.85
маці_NOUN	жонка_NOUN	2
медбрат_NOUN	навуковец_NOUN	2
меню_NOUN	заказ_NOUN	3.31
метал_NOUN	алюміній_NOUN	4.62
метр_NOUN	ярд_NOUN	4.85
метр_NOUN	цаля_NOUN	2.62
механізм_NOUN	рухавік_NOUN	5.08
мілы_ADJ	жорсткі_ADJ	0
свет_NOUN	дол_NOUN	5.85
міска_NOUN	хвост_NOUN	0.15
мішэнь_NOUN	страла_NOUN	1.08
немаўля_NOUN	дачка_NOUN	4.69
думка_NOUN	выбар_NOUN	1.77
думка_NOUN	ідэя_NOUN	3
думка_NOUN	уражаньне_NOUN	5.23
малекула_NOUN	атам_NOUN	3.85
малекула_NOUN	паветра_NOUN	3.77
малако_NOUN	сок_NOUN	1.85
мора_NOUN	акіян_NOUN	5.77
імжа_NOUN	дождж_NOUN	7.77
матэль_NOUN	гасцініца_NOUN	9.31
матор_NOUN	рухавік_NOUN	8.92
матор_NOUN	лодка_NOUN	0.31
мудрасць_NOUN	розум_NOUN	8.23
мужнасьць_NOUN	стрыманасць_NOUN	2.54
мужчына_NOUN	дзядзька_NOUN	4.38
мужчына_NOUN	бацька_NOUN	5.08
мужчына_NOUN	дзіця_NOUN	0.23
мужчына_NOUN	муж_NOUN	5.62
мужчына_NOUN	воін_NOUN	5.92
мужчына_NOUN	братэрства_NOUN	1.69
музыка_NOUN	мелодыя_NOUN	8.77
мускул_NOUN	костка_NOUN	0.62
мускул_NOUN	мова_NOUN	1.69
мышка_NOUN	котка_NOUN	1.54
мыш_NOUN	кіраванне_NOUN	3.85
мяса_NOUN	бекон_NOUN	6
мяса_NOUN	бутэрброд_NOUN	2.08
мяса_NOUN	хлеб_NOUN	1.31
мяч_NOUN	кошык_NOUN	0.77
мяч_NOUN	пальчатка_NOUN	1
прызначаць_VERB	абіраць_VERB	2.85
прызначэнне_NOUN	абавязацельства_NOUN	3.92
падатак_NOUN	даход_NOUN	2.23
нагадваць_VERB	забываць_VERB	2.77
нагадваць_VERB	прадаваць_VERB	0.15
народ_NOUN	цэнт_NOUN	0.15
народ_NOUN	стрэльба_NOUN	0.08
народ_NOUN	шар_NOUN	0.08
насякомае_NOUN	пчала_NOUN	6.46
насельніцтва_NOUN	народ_NOUN	8.62
цешыцца_VERB	забаўляцца_VERB	6.69
настаўнік_NOUN	памочнік_NOUN	3.46
настаўнік_NOUN	рабін_NOUN	4.69
настрой_NOUN	эмоцыя_NOUN	7.38
настроіць_NOUN	упэўненасць_NOUN	4.69
навука_NOUN	псіхалогія_NOUN	2.69
знаходзіць_VERB	знікаць_VERB	0
пачынаць_VERB	адбывацца_VERB	4.08
пачынаць_VERB	спыняць_VERB	0
пачынаць_VERB	ісьці_VERB	0.46
неба_NOUN	сусвет_NOUN	3.77
невуцтва_NOUN	розум_NOUN	1.69
нявеста_NOUN	прынцэса_NOUN	1.46
нядаўні_ADJ	новы_ADJ	6.77
недарагі_ADJ	танней_ADJ	9.46
нелегальны_ADJ	амаральны_ADJ	1.62
нямы_ADJ	рэдкі_ADJ	0
ненармальны_ADJ	нармальны_ADJ	0
ненармальны_ADJ	незвычайны_ADJ	5.92
непатрэбны_ADJ	неабходны_ADJ	0
неабходны_ADJ	важны_ADJ	7.38
незвычайны_ADJ	звычайны_ADJ	0
неад'емны_ADJ	неабходны_ADJ	8.15
нерв_NOUN	мозг_NOUN	2.85
несці_VERB	прыносіць_VERB	6.62
нецярплівы_ADJ	неспакойны_ADJ	7.77
няўрымслівы_ADJ	малады_ADJ	1.85
ніз_NOUN	верх_NOUN	0
ніз_NOUN	боку_NOUN	0.46
новы_ADJ	свежы_ADJ	7.77
новы_ADJ	стары_ADJ	0
нага_NOUN	рука_NOUN	0
пазногаць_NOUN	палец_NOUN	3.31
пазногаць_NOUN	пэндзаль_NOUN	0.85
норка_NOUN	мех_NOUN	1.54
нос_NOUN	рот_NOUN	1.23
носьбіт_NOUN	навіна_NOUN	1
ноч_NOUN	дзень_NOUN	0
ноч_NOUN	світанне_NOUN	1.08
ноч_NOUN	кіраўнік_NOUN	0.23
воблака_NOUN	туман_NOUN	3.77
воблака_NOUN	смуга_NOUN	3.38
воблака_NOUN	надвор'е_NOUN	2.46
